code,name,market,catagory,type
002133,广宇集团,A股,沪深A股,股票
300143,盈康生命,A股,沪深A股,股票
603486,科沃斯,A股,沪深A股,股票
300712,永福股份,A股,沪深A股,股票
603506,南都物业,A股,沪深A股,股票
605168,三人行,A股,沪深A股,股票
002839,张家港行,A股,沪深A股,股票
600094,大名城,A股,沪深A股,股票
000718,苏宁环球,A股,沪深A股,股票
688357,建龙微纳,A股,沪深A股,股票
300426,唐德影视,A股,沪深A股,股票
603517,绝味食品,A股,沪深A股,股票
002643,万润股份,A股,沪深A股,股票
600754,锦江酒店,A股,沪深A股,股票
300973,立高食品,A股,沪深A股,股票
688608,恒玄科技,A股,沪深A股,股票
000056,皇庭国际,A股,沪深A股,股票
002928,华夏航空,A股,沪深A股,股票
300463,迈克生物,A股,沪深A股,股票
300318,博晖创新,A股,沪深A股,股票
603195,公牛集团,A股,沪深A股,股票
603915,国茂股份,A股,沪深A股,股票
603057,紫燕食品,A股,沪深A股,股票
600665,天地源,A股,沪深A股,股票
002208,合肥城建,A股,沪深A股,股票
002044,美年健康,A股,沪深A股,股票
601877,正泰电器,A股,沪深A股,股票
601111,中国国航,A股,沪深A股,股票
300239,东宝生物,A股,沪深A股,股票
002154,报喜鸟,A股,沪深A股,股票
600077,宋都股份,A股,沪深A股,股票
002223,鱼跃医疗,A股,沪深A股,股票
600239,ST云城,A股,沪深A股,股票
600463,空港股份,A股,沪深A股,股票
002727,一心堂,A股,沪深A股,股票
300846,首都在线,A股,沪深A股,股票
002798,帝欧家居,A股,沪深A股,股票
000411,英特集团,A股,沪深A股,股票
688317,之江生物,A股,沪深A股,股票
002482,ST广田,A股,沪深A股,股票
688606,奥泰生物,A股,沪深A股,股票
600666,*ST瑞德,A股,沪深A股,股票
000983,山西焦煤,A股,沪深A股,股票
601595,上海电影,A股,沪深A股,股票
000564,ST大集,A股,沪深A股,股票
601186,中国铁建,A股,沪深A股,股票
000625,长安汽车,A股,沪深A股,股票
000587,*ST金洲,A股,沪深A股,股票
688655,迅捷兴,A股,沪深A股,股票
000856,冀东装备,A股,沪深A股,股票
600581,八一钢铁,A股,沪深A股,股票
002122,*ST天马,A股,沪深A股,股票
300429,强力新材,A股,沪深A股,股票
002057,中钢天源,A股,沪深A股,股票
300766,每日互动,A股,沪深A股,股票
600152,维科技术,A股,沪深A股,股票
002735,王子新材,A股,沪深A股,股票
688318,财富趋势,A股,沪深A股,股票
600767,*ST运盛,A股,沪深A股,股票
002083,孚日股份,A股,沪深A股,股票
000796,ST凯撒,A股,沪深A股,股票
300791,仙乐健康,A股,沪深A股,股票
300436,广生堂,A股,沪深A股,股票
600303,ST曙光,A股,沪深A股,股票
000558,莱茵体育,A股,沪深A股,股票
300192,科德教育,A股,沪深A股,股票
000877,天山股份,A股,沪深A股,股票
600149,廊坊发展,A股,沪深A股,股票
603901,永创智能,A股,沪深A股,股票
600838,上海九百,A股,沪深A股,股票
000858,五粮液,A股,沪深A股,股票
301211,亨迪药业,A股,沪深A股,股票
301283,聚胶股份,A股,沪深A股,股票
000153,丰原药业,A股,沪深A股,股票
000886,海南高速,A股,沪深A股,股票
600763,通策医疗,A股,沪深A股,股票
688609,九联科技,A股,沪深A股,股票
003037,三和管桩,A股,沪深A股,股票
603610,麒盛科技,A股,沪深A股,股票
002089,ST新海,A股,沪深A股,股票
600426,华鲁恒升,A股,沪深A股,股票
300327,中颖电子,A股,沪深A股,股票
002532,天山铝业,A股,沪深A股,股票
605338,巴比食品,A股,沪深A股,股票
603385,惠达卫浴,A股,沪深A股,股票
603995,甬金股份,A股,沪深A股,股票
300146,汤臣倍健,A股,沪深A股,股票
000732,ST泰禾,A股,沪深A股,股票
600139,*ST西源,A股,沪深A股,股票
002885,京泉华,A股,沪深A股,股票
600518,ST康美,A股,沪深A股,股票
600260,*ST凯乐,A股,沪深A股,股票
002776,ST柏龙,A股,沪深A股,股票
002285,世联行,A股,沪深A股,股票
000616,ST海投,A股,沪深A股,股票
601666,平煤股份,A股,沪深A股,股票
300949,奥雅股份,A股,沪深A股,股票
000615,奥园美谷,A股,沪深A股,股票
605001,威奥股份,A股,沪深A股,股票
600648,外高桥,A股,沪深A股,股票
601187,厦门银行,A股,沪深A股,股票
600258,首旅酒店,A股,沪深A股,股票
688363,华熙生物,A股,沪深A股,股票
600604,市北高新,A股,沪深A股,股票
600775,南京熊猫,A股,沪深A股,股票
603170,宝立食品,A股,沪深A股,股票
603718,海利生物,A股,沪深A股,股票
300010,豆神教育,A股,沪深A股,股票
300676,华大基因,A股,沪深A股,股票
603858,步长制药,A股,沪深A股,股票
300982,苏文电能,A股,沪深A股,股票
002410,广联达,A股,沪深A股,股票
600716,凤凰股份,A股,沪深A股,股票
600658,电子城,A股,沪深A股,股票
300528,幸福蓝海,A股,沪深A股,股票
688045,必易微,A股,沪深A股,股票
600321,正源股份,A股,沪深A股,股票
300571,平治信息,A股,沪深A股,股票
301227,森鹰窗业,A股,沪深A股,股票
000617,中油资本,A股,沪深A股,股票
300808,久量股份,A股,沪深A股,股票
000029,深深房Ａ,A股,沪深A股,股票
300027,华谊兄弟,A股,沪深A股,股票
002007,华兰生物,A股,沪深A股,股票
000627,天茂集团,A股,沪深A股,股票
000628,高新发展,A股,沪深A股,股票
002614,奥佳华,A股,沪深A股,股票
300792,壹网壹创,A股,沪深A股,股票
688621,阳光诺和,A股,沪深A股,股票
002238,天威视讯,A股,沪深A股,股票
603108,润达医疗,A股,沪深A股,股票
688073,毕得医药,A股,沪深A股,股票
301333,诺思格,A股,沪深A股,股票
301098,金埔园林,A股,沪深A股,股票
002439,启明星辰,A股,沪深A股,股票
600196,复星医药,A股,沪深A股,股票
000776,广发证券,A股,沪深A股,股票
600565,迪马股份,A股,沪深A股,股票
300869,康泰医学,A股,沪深A股,股票
